SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,22,111161,119194,97922,110491,7257,5234,752,8703,748,7630,38,482,63,0,0,1073,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,22,127909,164283,113168,127787,7818,6141,801,36496,782,11386,41,385,42,0,0,25110,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,133202,153254,119631,141962,7368,5376,827,11292,827,11292,204,3011,23,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,45,162046,191594,147977,169399,7503,5704,871,22195,862,13577,205,2415,14,0,0,8618,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,22157,22812,18530,21395,1805,1747,80,1417,75,941,0,0,5,0,0,476,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,42926,51996,38892,42222,2417,1550,75,9774,67,1473,0,0,10,0,0,8301,0
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East/North,19,42724,57000,40517,45040,795,811,605,11960,601,10954,333,7287,80,0,0,1006,0
1005O CNR Newmarket Subdivision (Outbound),South/West,19,45469,97440,42640,52151,1134,1061,657,45289,634,14001,342,9090,162,0,0,31288,0
1006I CNR Bala Subdivision (Inbound),North/South/West,17,34781,57173,31596,36969,1790,942,517,20204,453,8300,214,6332,304,0,11305,599,0
1006O CNR Bala Subdivision (Outbound),East/North/South,17,46135,110002,42543,50198,2140,1050,472,59804,402,11427,194,9652,692,0,28303,20074,0
1007I CNR Uxbridge Subdivision (Inbound),West,9,29310,51111,27990,35279,138,492,690,15832,690,15832,491,14059,0,0,0,0,0
1007O CNR Uxbridge Subdivision (Outbound),East,9,41835,71574,40385,49836,207,549,694,21738,694,21738,472,19855,3,0,0,0,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009I Hwy 401 South (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009O Hwy 401 South (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010I Hwy 401 North (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010O Hwy 401 North (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1011I Taylor Creek-Victoria Park (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1011O Taylor Creek-Victoria Park (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,6,12195,63567,11645,13195,345,113,213,28978,92,1369,32,397,266,0,27609,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,6,19076,111278,18294,21735,531,160,206,53854,91,1366,31,804,369,0,52488,0,0
