SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,85873,113905,75511,88900,5442,4390,664,25005,530,10169,26,141,0,0,0,14836,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,19,63126,69310,53688,62265,4767,4155,542,7045,516,6838,20,283,0,0,0,207,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,35,74880,87855,65391,78966,5817,3166,528,8889,506,7272,153,1293,0,0,0,1617,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,32,55643,61651,46460,55103,5813,2928,442,6548,442,6548,145,2857,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,19531,26181,17758,20956,746,951,130,5225,76,1262,0,0,0,0,0,3963,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,11169,13493,8937,10549,1085,1044,154,2944,103,2729,0,0,0,0,0,215,0
1004I Humber River (Inbound),East/North/South,16,78863,128902,69159,81928,5022,4115,1069,46974,567,10328,294,6627,0,0,20464,16182,0
1004O Humber River (Outbound),North/South/West,14,63278,76028,54266,61910,5097,3408,921,14118,507,7550,310,5502,0,0,6284,284,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,85374,164446,71630,85720,8272,4210,1699,78726,1262,30428,898,25660,0,0,31960,16338,0
1005O CNR Newmarket Subdivision (Outbound),South/West,25,66879,87379,56483,64134,6084,3194,1484,23245,1118,14504,848,12545,0,0,8457,284,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,90632,177649,78825,95825,7395,3336,1560,81824,1076,28442,735,25666,0,0,43666,9716,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,70492,84952,60402,68394,5402,3663,1403,16558,1025,10079,705,8269,0,0,6367,112,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,65949,104020,58501,70791,4282,2260,1076,33229,906,20443,500,17374,0,0,5195,7591,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,32552,42819,26981,31323,2899,1921,897,11496,751,8906,450,6772,0,0,2448,142,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,75991,161072,66769,81330,5877,2224,1959,79742,1121,20645,744,18628,0,0,54096,5001,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,36,56904,90314,49540,57799,4468,1854,1758,32515,1042,17558,710,15939,0,0,14957,0,0
1009I Hwy 401 South (Inbound),East/South/West,48,177419,260170,155365,186314,13200,6914,2670,73856,1940,36236,884,25005,0,0,32318,5302,0
1009O Hwy 401 South (Outbound),East/North/West,48,154646,192785,134179,155810,12880,5730,2437,36975,1857,27725,891,20268,0,0,9250,0,0
1010I Hwy 401 North (Inbound),East/South/West,42,151037,189241,129862,153772,12326,7106,1791,35469,1743,30430,818,22522,0,0,0,5039,0
1010O Hwy 401 North (Outbound),East/North/West,43,147241,174738,128660,150103,11180,5829,1572,24635,1572,24635,801,18670,0,0,0,0,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,33061,79972,29777,36561,2053,824,827,43411,407,7637,255,6753,0,0,27780,7994,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,22558,34273,19708,22758,1648,801,821,11515,401,5734,272,5182,0,0,5642,139,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,26070,90678,22546,27722,2512,632,1222,62956,380,8528,260,8084,0,0,54428,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,13524,39579,11149,13349,1590,453,1110,26230,332,5721,250,5245,0,0,20509,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,24,33318,102521,28457,35111,3178,1303,865,67410,380,11297,251,9708,0,0,39775,16338,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,20,20525,36673,16954,18971,2290,969,708,17702,312,3986,220,3150,0,0,13432,284,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,33572,93934,28276,34504,3330,1457,946,59430,509,11132,401,9770,0,0,31960,16338,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,14,22906,34569,18562,21415,2777,1128,805,13154,439,4413,354,3799,0,0,8457,284,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,39129,103938,33924,42247,3506,1369,814,61691,330,8309,223,7830,0,0,43666,9716,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,15,19241,26795,15736,18325,2099,1119,665,8470,287,1991,210,1750,0,0,6367,112,0
1058I Central Area Cordon North (Inbound),South,6,16675,73791,14928,18049,1382,248,959,55742,117,1314,38,1037,0,0,54428,0,0
1058O Central Area Cordon North (Outbound),North,6,7213,28666,6282,7274,663,187,859,21392,81,883,29,574,0,0,20509,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South/West,11,5203,72916,4366,5316,515,191,935,67600,131,2578,79,2042,0,0,65022,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,11,4347,17831,3572,4165,475,200,856,13666,100,557,66,454,0,0,13109,0,0
1062I Downtown Core Cordon South-Front St (Inbound),North,7,0,26208,0,0,0,0,219,26208,0,0,0,0,0,0,0,26208,0
1062O Downtown Core Cordon South-Front St (Outbound),South,2,0,396,0,0,0,0,78,396,0,0,0,0,0,0,0,396,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,11700,19938,10321,14018,894,295,190,5920,190,5920,132,5677,0,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,3990,5916,3151,3374,483,204,152,2542,152,2542,130,2493,0,0,0,0,0
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,12,40370,85666,36198,44302,2573,1300,801,41364,299,4718,170,2904,0,0,20464,16182,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,10,27924,38769,24439,28506,2228,981,690,10263,276,3695,167,2522,0,0,6284,284,0
1071I Suburban North Boundary (Hwy 401 South) (Inbound),East/South,23,95020,152558,82747,99526,8121,3123,1727,53032,1029,18767,452,13162,0,0,32318,1947,0
