SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,22,111189,118815,94595,107263,9294,6649,655,11552,651,10764,34,1092,60,0,0,788,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,120935,151802,104059,117854,8717,7468,710,33948,691,11129,49,870,28,0,0,22819,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,137305,147490,121812,138993,8504,6306,684,8497,684,8497,187,2534,38,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,46,167222,185333,145280,167405,13916,7254,780,17928,772,11050,237,2956,43,0,0,6878,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,21671,20408,16822,19005,2608,2150,96,1403,91,873,0,0,6,0,0,530,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,41123,47934,35154,38335,3905,1959,113,9599,105,1577,0,0,2,0,0,8022,0
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East,7,19703,24045,18007,18831,818,660,222,5214,218,4315,16,206,14,0,0,899,0
1005O CNR Newmarket Subdivision (Outbound),West,7,24468,55878,22575,26845,1048,704,163,29033,141,665,18,56,1,0,0,28368,0
1006I CNR Bala Subdivision (Inbound),North/South/West,17,31824,48750,28388,33073,1775,1290,435,15677,371,2711,236,2034,300,0,12358,608,0
1006O CNR Bala Subdivision (Outbound),East/North/South,17,39918,97918,36081,43314,2227,1288,394,54604,322,5591,169,3750,376,0,30050,18963,0
1007I CNR Uxbridge Subdivision (Inbound),West,9,30449,48432,27514,34727,1609,688,638,13705,638,13705,479,12428,37,0,0,0,0
1007O CNR Uxbridge Subdivision (Outbound),East,9,42151,64713,38272,45165,2463,751,665,19548,665,19548,481,17796,34,0,0,0,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009I Hwy 401 South (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009O Hwy 401 South (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010I Hwy 401 North (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010O Hwy 401 North (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
