SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,88905,122621,78182,91891,5964,4105,836,30730,654,9588,22,133,0,0,0,21142,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,20,61086,66722,51853,60390,4829,3827,629,6332,577,6029,20,226,0,0,0,303,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,42,87536,105056,77279,93739,6819,2765,711,11317,673,8051,216,1043,0,0,0,3266,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,39,58242,62841,49290,57149,5717,2675,560,5692,560,5692,212,2398,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,25197,35470,22736,27284,1575,826,162,8186,60,781,0,0,0,0,0,7405,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,10431,11013,8515,10124,932,950,86,889,34,619,0,0,0,0,0,270,0
1004I Humber River (Inbound),East/North/South,17,76343,128097,67023,79100,5383,3319,1148,48997,618,8473,299,5677,0,0,17953,22571,0
1004O Humber River (Outbound),North/South/West,16,60212,73608,52215,60259,4795,2662,952,13349,540,6197,310,4045,0,0,6841,311,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,79403,157838,66808,81031,7616,3732,1769,76807,1247,26787,825,22948,0,0,26901,23119,0
1005O CNR Newmarket Subdivision (Outbound),South/West,26,62059,84167,52899,60454,5457,2553,1556,23713,1150,14132,794,10735,0,0,9270,311,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,91125,177689,80102,98798,6737,3174,1610,78891,1112,28660,685,25799,0,0,35798,14433,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,66985,80648,58181,65957,4771,3021,1372,14691,1012,7803,641,6242,0,0,6747,141,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,64143,103901,57168,69139,4368,1770,1101,34762,837,17423,522,15513,0,0,6138,11201,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,32902,41956,27726,32305,2601,1831,952,9651,744,7425,472,5700,0,0,2024,202,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,70881,145435,61922,76884,5662,2061,2032,68551,1236,19051,781,17190,0,0,41869,7631,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,36,56572,89106,49071,57788,4726,1631,1828,31318,1144,15299,779,13545,0,0,16019,0,0
1009I Hwy 401 South (Inbound),East/South/West,46,161660,234234,140740,169085,12806,6090,2676,65149,2024,28584,883,19448,0,0,28187,8378,0
1009O Hwy 401 South (Outbound),East/North/West,44,139188,168748,122011,139788,10774,4686,2213,28960,1717,21472,877,15844,0,0,7488,0,0
1010I Hwy 401 North (Inbound),East/South/West,43,151417,213744,129505,154484,13633,6504,2417,59260,1775,23098,828,16640,0,0,28187,7975,0
1010O Hwy 401 North (Outbound),East/North/West,42,145471,170315,126801,145517,11773,5305,2088,24798,1592,17310,853,13352,0,0,7488,0,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,32523,80679,28781,36379,2410,908,874,44300,424,6492,267,5583,0,0,25804,12004,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,10,24492,34163,21799,25057,1668,611,822,9106,414,4424,273,3792,0,0,4485,197,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22571,84562,19837,24234,1840,529,1013,60328,365,8750,258,7908,0,0,51578,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,13097,38459,10826,12783,1521,388,984,25676,362,4367,251,4001,0,0,21309,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,24,30461,98926,26574,33019,2509,1027,841,65907,351,9221,215,7957,0,0,33567,23119,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,21,17213,27943,14521,16017,1682,678,738,11926,332,3806,188,1886,0,0,7809,311,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,31380,92118,26798,32696,2994,1094,1016,59422,494,9402,337,7887,0,0,26901,23119,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,15,19433,33691,16016,18435,2168,788,867,15256,461,5675,318,3725,0,0,9270,311,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,36276,99310,31787,40748,3000,1143,844,58562,346,8331,199,7314,0,0,35798,14433,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,15,17886,26263,15192,17234,1544,875,635,9029,275,2141,179,1670,0,0,6747,141,0
1058I Central Area Cordon North (Inbound),South,6,14807,70659,13509,16257,921,249,776,54402,128,2824,57,2167,0,0,51578,0,0
1058O Central Area Cordon North (Outbound),North,6,6969,28751,6020,6864,679,169,723,21887,101,578,39,351,0,0,21309,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South,11,5092,58974,4334,5115,400,182,872,53859,176,2151,103,1540,0,0,51708,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),West,11,4820,22560,3976,4546,499,201,820,18014,144,1163,104,973,0,0,16851,0,0
