SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,77054,104520,68898,82460,4030,3747,471,22060,379,8529,21,148,0,0,0,13531,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,19,52685,59666,45931,54380,3049,3311,417,5286,394,5092,18,220,0,0,0,194,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,31,63238,75638,55410,68100,4933,2473,443,7538,422,6296,108,832,0,0,0,1242,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,28,43778,49675,37109,44232,4203,2127,339,5443,339,5443,94,3042,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,17819,24651,16233,19510,794,723,107,5141,69,1417,0,0,0,0,0,3724,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,8958,9616,7483,8580,508,912,99,1036,55,767,0,0,0,0,0,269,0
1004I Humber River (Inbound),East/North/South,16,70691,117430,61466,73834,5451,3256,960,43596,518,8505,301,5684,0,0,20514,14577,0
1004O Humber River (Outbound),North/South/West,14,61276,72655,52753,60218,4697,3338,887,12437,488,5551,290,3479,0,0,6578,308,0
1005I CNR Newmarket Subdivision (Inbound),East/North,27,82446,158835,70187,85406,7290,3759,1646,73429,1210,29333,866,26146,0,0,29665,14431,0
1005O CNR Newmarket Subdivision (Outbound),South/West,24,64970,87924,55077,63327,5524,3233,1529,24597,1136,15999,859,13927,0,0,8290,308,0
1006I CNR Bala Subdivision (Inbound), North/South/West,29,89549,168610,78134,96770,6827,3496,1503,71840,1092,29054,697,26549,0,0,34063,8723,0
1006O CNR Bala Subdivision (Outbound),East/North/South,27,63788,81666,54681,62165,4804,3339,1306,19501,964,10707,668,9145,0,0,8646,148,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,60903,91647,54155,65269,3916,2055,892,26378,777,16435,476,13705,0,0,2921,7022,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,32128,40945,26566,30934,3039,1862,775,10011,661,8257,422,6296,0,0,1520,234,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,72688,145607,64269,78597,5317,1993,1860,67010,1109,19811,734,18109,0,0,42962,4237,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,36,54802,83040,47395,55528,4328,1956,1739,27512,1123,16312,788,14654,0,0,11200,0,0
1009I Hwy 401 South (Inbound),East/South/West,45,153908,226318,135001,160816,11172,5987,2518,65502,1748,27744,809,20392,0,0,33433,4325,0
1009O Hwy 401 South (Outbound),East/North/West,45,139311,174512,122279,141634,10466,4989,2197,32878,1577,21580,783,15873,0,0,11298,0,0
1010I Hwy 401 North (Inbound),East/South/West,42,137702,174205,119273,142692,10948,5865,1662,31513,1616,27188,793,21229,0,0,0,4325,0
