SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,19,71875,86114,63197,78822,4118,4077,517,7292,483,7096,21,258,0,0,0,196,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,90191,119095,79706,97979,5054,4935,597,21116,496,10350,21,174,0,0,0,10766,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,28,60280,72650,51820,67176,5042,3059,359,5474,359,5474,100,1504,0,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,31,73552,89082,64167,81651,5742,3242,423,7431,401,6282,93,904,0,0,0,1149,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,13320,16605,11427,15335,736,1106,100,1270,51,769,0,0,0,0,0,501,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,20067,26358,17838,21724,1000,1156,115,4634,73,1452,0,0,0,0,0,3182,0
1004I Humber River (Inbound),East/North/South,14,79380,101407,68525,84256,6394,3876,1039,17151,585,8064,356,5457,0,0,8858,229,0
1004O Humber River (Outbound),North/South/West,16,89939,140483,78564,94217,6098,4581,1237,46266,696,12533,346,6576,0,0,21686,12047,0
1005I CNR Newmarket Subdivision (Inbound),East/North,24,85579,126550,73385,91484,7393,3508,1742,35066,1293,22173,967,19199,0,0,12637,256,0
1005O CNR Newmarket Subdivision (Outbound),South/West,27,102338,189393,86907,110952,8938,5047,1990,78441,1446,33527,991,27181,0,0,32102,12812,0
1006I CNR Bala Subdivision (Inbound), North/South/West,27,94014,133757,81579,101492,7043,4120,1739,32265,1272,17313,840,12548,0,0,14537,415,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,111861,205936,98366,124008,8236,3984,1751,81928,1275,30858,820,26813,0,0,42936,8134,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,49488,69408,42485,55072,3760,2475,887,14336,768,11830,512,9707,0,0,2053,453,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,70323,105804,61797,78349,5368,2354,939,27455,804,17279,465,14055,0,0,3377,6799,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,36,78644,124889,69218,89074,6152,2059,1975,35815,1215,21051,870,18167,0,0,14764,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,39,90965,180134,80207,102143,7055,2388,2172,77991,1315,26645,892,23517,0,0,47607,3739,0
1009I Hwy 401 South (Inbound),East/South/West,41,187546,248350,165886,205332,12864,6884,2680,43018,1912,29615,945,20422,0,0,13403,0,0
1009O Hwy 401 South (Outbound),East/North/West,49,196392,286118,172171,215484,15387,6833,2767,70634,2001,34987,939,24338,0,0,31831,3816,0
1010I Hwy 401 North (Inbound),East/South/West,38,168817,209224,148562,183335,11899,6685,1671,25889,1671,25889,889,19240,0,0,0,0,0
1010O Hwy 401 North (Outbound),East/North/West,48,171348,220259,149327,185660,13016,7234,1815,34599,1771,30772,891,22524,0,0,11,3816,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,10,31195,46594,27372,34222,2546,867,829,12372,410,5675,300,4660,0,0,6242,455,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,39729,85997,34857,44184,3396,985,978,41813,491,8445,325,7375,0,0,26210,7158,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22531,60191,19695,25338,1998,399,1397,34853,439,7229,303,6262,0,0,27624,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,33670,113719,29954,39403,2623,649,1386,74316,444,10322,313,9325,0,0,63994,0,0
1013I Central Area Cordon West (Bathurst St) (Before 1986) (Inbound),East,13,30644,64294,26311,33414,2844,1048,884,30880,441,8660,315,7132,0,0,21964,256,0
1013O Central Area Cordon West (Bathurst St) (Before 1986) (Outbound),West,16,39853,110758,34621,45041,3413,1348,1021,65717,471,16131,302,12646,0,0,36774,12812,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,13,33156,58713,28045,36578,3230,1269,1061,22135,612,9242,465,7624,0,0,12637,256,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,16,39548,104379,33931,43795,3435,1516,1210,60584,666,15670,464,12039,0,0,32102,12812,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,15,28799,50639,24413,30907,2725,1245,883,19732,416,4780,289,3808,0,0,14537,415,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,43065,111214,37466,48726,3734,1448,893,62488,417,11418,276,10013,0,0,42936,8134,0
1058I Central Area Cordon North (Inbound),South,6,13201,43666,11901,14743,1006,184,1068,28923,110,1299,43,734,0,0,27624,0,0
1058O Central Area Cordon North (Outbound),North,6,22027,92252,20105,26171,1463,343,1058,66081,116,2087,45,1351,0,0,63994,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South/West,11,8737,33963,7672,9397,650,196,1135,24566,219,3134,115,1447,0,0,21432,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,11,8416,78520,7490,9754,599,160,1059,68766,167,2976,106,2058,0,0,65790,0,0
1062I Downtown Core Cordon South-Front St (Inbound),North,2,0,671,0,0,0,0,70,671,0,0,0,0,0,0,0,671,0
1062O Downtown Core Cordon South-Front St (Outbound),South,7,0,19709,0,0,0,0,170,19709,0,0,0,0,0,0,0,19709,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,8570,13179,7408,9008,738,228,196,4171,196,4171,152,3601,0,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,12496,20944,11112,14878,923,272,189,6066,189,6066,159,5816,0,0,0,0,0
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,10,41094,58787,36428,45381,2988,1331,801,13406,347,4319,215,2742,0,0,8858,229,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,12,47926,90321,42872,51077,3329,1358,908,39244,367,5511,217,3273,0,0,21686,12047,0
1071I Suburban North Boundary (Hwy 401 South) (Inbound),East/South,21,95037,134637,84582,105000,6572,2817,1834,29637,1066,16234,541,12006,0,0,13403,0,0
1071O Suburban North Boundary (Hwy 401 South) (Outbound),North/West,23,116933,183156,104142,128809,8291,3357,1884,54347,1143,21341,532,15723,0,0,31831,1175,0
1072I Suburban East Boundary (Uxbridge Subdivision) (Inbound),West,8,19416,31231,16639,21692,1798,523,575,9539,456,7033,362,6734,0,0,2053,453,0
1072O Suburban East Boundary (Uxbridge Subdivision) (Outbound),East,9,30385,56304,26452,34334,2853,596,619,21970,484,11794,350,11024,0,0,3377,6799,0
1081I Extended Core Cordon West (Inbound),East/South,15,31165,41058,26968,34692,2840,1058,328,6366,299,6110,156,4218,0,0,0,256,0
1081O Extended Core Cordon West (Outbound),North/West,19,36886,64393,32228,41460,3074,1276,420,22933,308,10121,151,6309,0,0,0,12812,0
1082I Extended Core Cordon North (South of Dundas St) (Inbound),South/West,14,14339,40874,12781,16013,1032,288,1154,24861,238,3429,115,1447,0,0,21432,0,0
1082O Extended Core Cordon North (South of Dundas St) (Outbound),East/North,15,15426,86985,13912,17937,1059,234,1113,69048,221,3258,106,2058,0,0,65790,0,0
1083I Extended Core Cordon East (West of Jarvis) (Inbound),West,12,19742,26771,16924,21095,1768,783,308,5676,267,5261,187,3983,0,0,0,415,0
1083O Extended Core Cordon East (West of Jarvis) (Outbound),East,14,29349,47323,25223,32351,2638,1209,347,14972,279,6838,192,5959,0,0,0,8134,0
