SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East/South,22,459881,515984,386274,435622,39968,30901,2795,75761,2757,36083,160,2554,291,0,0,39678,149
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),North/West,22,466085,524981,394206,447378,35335,33625,2991,77603,2958,42184,209,3456,275,0,0,35419,169
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,49,583484,661527,514813,593475,35212,29719,3753,68052,3740,50643,1023,9472,720,0,0,17409,3244
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,49,555432,634934,487806,565005,33034,30842,3763,69929,3750,54534,993,12865,732,0,0,15395,2550
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,7,138554,153333,119288,131602,9494,9419,380,21731,353,5265,0,0,40,0,0,16466,15
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,7,118611,132662,100063,109971,9359,8863,350,22691,326,4873,0,0,45,0,0,17818,24
1004I Humber River (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004O Humber River (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005I CNR Newmarket Subdivision (Inbound),East,7,98146,140584,90977,97435,3409,3195,591,43149,565,8973,69,1723,527,0,0,34176,287
1005O CNR Newmarket Subdivision (Outbound),West,7,95734,143778,87445,102495,4058,3715,538,41283,516,10066,56,976,415,0,0,31217,215
1006I CNR Bala Subdivision (Inbound),North/South/West,16,170505,331199,152783,178222,10044,5980,1974,152977,1698,31853,851,25054,2176,0,86899,34225,2696
1006O CNR Bala Subdivision (Outbound),East/North/South,16,163486,299631,146417,174184,9852,5665,1815,125447,1552,25658,739,18305,1948,0,70023,29766,2875
1007I CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1007O CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009I Hwy 401 South (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009O Hwy 401 South (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
