SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,113151,149460,102121,114035,4599,5800,809,35425,631,9910,48,1003,0,0,0,25515,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,19,81533,86641,71332,80276,4724,4940,569,6365,537,6005,22,268,0,0,0,360,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,43,122940,138844,109425,128406,7891,4977,688,10438,647,6346,199,915,0,0,0,4092,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,40,89039,99618,77747,91723,6314,4432,546,7895,546,7895,212,3628,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,42529,54058,38281,44631,2726,1456,150,9427,66,1152,0,0,0,0,0,8275,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,12599,14455,10205,11347,985,1315,146,3108,94,2768,0,0,0,0,0,340,0
1004I Humber River (Inbound),East/North/South,17,89275,144974,78086,91903,5695,4735,1207,53071,759,11084,329,6563,0,0,14748,27239,0
1004O Humber River (Outbound),North/South/West,15,69307,82422,60314,68876,4350,3998,959,13546,645,7992,348,5167,0,0,5247,307,0
1005I CNR Newmarket Subdivision (Inbound),East,7,16411,46648,14837,17598,906,573,280,29050,95,1180,9,78,0,0,0,27870,0
1005O CNR Newmarket Subdivision (Outbound),West,4,9584,10936,8598,9849,428,493,97,1087,65,777,10,44,0,0,0,310,0
1006I CNR Bala Subdivision (Inbound),North/South/West,18,43851,103285,40215,48682,2060,1259,759,54603,317,4776,153,3705,0,0,32659,17168,0
1006O CNR Bala Subdivision (Outbound),East/North/South,16,20260,30461,18058,20258,1202,743,579,10203,257,1971,147,1230,0,0,8065,167,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,66447,105028,59726,71334,3560,2336,922,33694,825,15469,495,14045,0,0,4542,13683,0
1007O CNR Uxbridge Subdivision (Outbound),East,15,36690,46865,31512,35954,2233,2196,801,10911,749,8399,453,6134,0,0,2281,231,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009I Hwy 401 South (Inbound),East/South/West,48,183838,269802,162454,192548,12057,7431,2720,77254,1896,23983,840,14676,0,0,43389,9882,0
1009O Hwy 401 South (Outbound),East/North/West,48,167548,209594,149833,172705,10222,5759,2454,36889,1734,21481,774,14085,0,0,15408,0,0
1010I Hwy 401 North (Inbound),East/South,12,21552,36542,19484,24018,1168,560,393,12524,340,5425,216,5136,0,0,0,7099,0
1010O Hwy 401 North (Outbound),North/West,9,17916,23443,16084,18811,973,508,351,4632,351,4632,221,4093,0,0,0,0,0
1011I Taylor Creek-Victoria Park (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
