SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,303439,364335,256481,309940,20764,23686,2716,54395,2508,34399,69,820,0,0,0,19996,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,289100,350819,243584,298241,20561,22586,2559,52578,2369,36047,71,988,0,0,0,16531,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,39,289963,324800,244511,301039,26625,16802,2051,23761,2025,21599,639,5373,0,0,0,2162,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,39,278902,303891,229662,278842,28300,18968,1998,25049,1972,22881,640,6956,0,0,0,2168,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,62575,75986,54360,65598,2755,5249,342,10388,211,3372,0,0,0,0,0,7016,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,56199,65853,48500,58354,2731,4785,314,7499,183,2871,0,0,0,0,0,4628,0
1004I Humber River (Inbound),East/North/South,16,271136,373861,232749,280481,19646,16692,3598,93380,2049,31317,1035,18239,0,0,39873,22190,0
1004O Humber River (Outbound),North/South/West,16,263225,356572,223846,271098,19184,18166,3563,85474,2029,30280,990,16606,0,0,37543,17651,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,333688,509046,274488,334602,32281,22346,6098,174444,4573,82550,2993,63410,0,0,68820,23074,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,326728,470762,268602,331837,32925,20676,6047,138925,4525,76161,2920,59534,0,0,42919,19845,0
1006I CNR Bala Subdivision (Inbound),North/South/West,28,354916,526352,297765,359841,32401,20667,5569,166511,4083,69505,2369,54000,0,0,83353,13653,0
1006O CNR Bala Subdivision (Outbound),East/North/South,28,319775,459764,267806,320272,28678,19309,5428,139492,3982,61170,2355,46823,0,0,68535,9787,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,196789,271457,165071,202637,16802,12079,3531,68820,2837,45937,1592,36145,0,0,12032,10851,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,197578,260745,166436,200373,16131,12266,3448,60372,2745,42007,1566,30646,0,0,10695,7670,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,38,303138,485357,258954,316452,27885,12021,7339,168905,4278,60954,2601,50016,0,0,101905,6046,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,38,281165,450121,237160,287313,28098,11807,7110,162808,4100,62143,2536,51470,0,0,95087,5578,0
1009I Hwy 401 South (Inbound),East/South/West,48,670146,856995,568372,688541,60586,34324,9241,168454,6864,100548,3002,62297,0,0,61470,6436,0
1009O Hwy 401 South (Outbound),East/North/West,52,654246,819847,552747,660813,60868,33659,9248,159034,6972,99208,2945,60898,0,0,54463,5363,0
1010I Hwy 401 North (Inbound),East/South/West,43,468075,617694,399806,476522,38870,24616,7160,141172,4783,73592,2210,53029,0,0,61470,6110,0
1010O Hwy 401 North (Outbound),East/North/West,47,453262,577838,385407,450095,39397,23767,6967,127743,4691,68211,2189,47667,0,0,54463,5069,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,124309,217414,108985,134046,9314,4481,2923,83368,1529,24379,887,19317,0,0,47959,11030,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,110794,183147,95577,115781,9209,4479,3050,67366,1529,22531,901,16912,0,0,36684,8151,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,94159,257403,78598,96820,11174,3037,4164,160583,1350,29070,926,25243,0,0,131513,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,88861,229820,74088,92561,10422,3013,4106,137259,1338,24447,929,21809,0,0,112812,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,24,124340,273298,103240,128606,12824,6632,3145,144692,1644,35360,968,25297,0,0,86258,23074,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,120900,254931,98243,126341,14199,6810,3212,128590,1648,27789,934,20160,0,0,80956,19845,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,125410,255080,102370,126823,13931,7156,3478,128257,1953,36363,1338,27196,0,0,68820,23074,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,122564,222402,97803,127504,15424,7342,3517,94898,1995,32134,1286,24048,0,0,42919,19845,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,16,129296,245861,104501,129139,16442,6983,2856,116722,1370,19716,839,15598,0,0,83353,13653,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,16,110171,204955,88551,108362,13424,6871,2771,96593,1325,18271,791,14440,0,0,68535,9787,0
1058I Central Area Cordon North (Inbound),South,6,59911,200352,51829,62765,6303,1374,3219,137587,405,6074,150,2986,0,0,131513,0,0
1058O Central Area Cordon North (Outbound),North,6,55081,175788,47830,58736,5474,1379,3166,117052,398,4240,150,2100,0,0,112812,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South/West,10,29054,174962,24339,29215,3012,1181,3362,145747,522,6304,236,3587,0,0,139443,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,10,27691,140859,23262,28129,2704,1304,3257,112730,421,5450,227,3786,0,0,107280,0,0
1062I Downtown Core Cordon South-Front St (Inbound),North,7,0,36727,0,0,0,0,360,36727,0,0,0,0,0,0,0,36727,0
1062O Downtown Core Cordon South-Front St (Outbound),South,7,0,28297,0,0,0,0,350,28297,0,0,0,0,0,0,0,28297,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,41949,60219,35432,43569,4137,1674,706,16650,706,16650,466,13979,0,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,34667,48465,28436,34187,3660,1946,625,14278,625,14278,458,12855,0,0,0,0,0
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,12,137115,227143,120296,147322,10294,5404,2670,79821,1121,17758,585,10477,0,0,39873,22190,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,12,127986,208932,111346,137700,9861,5660,2653,71232,1119,16038,575,9421,0,0,37543,17651,0
1071I Suburban North Boundary (Hwy 401 South) (Inbound),East/South,23,356759,486832,304868,368318,33117,15034,6086,118514,3740,54632,1703,35198,0,0,61470,2412,0
1071O Suburban North Boundary (Hwy 401 South) (Outbound),North/West,23,371715,496048,316886,381920,33254,17686,6139,114128,3889,57216,1694,35293,0,0,54463,2449,0
1072I Suburban East Boundary (Uxbridge Subdivision) (Inbound),West,9,82843,136082,68030,84679,9865,3186,2456,51403,1762,28520,1130,25886,0,0,12032,10851,0
1072O Suburban East Boundary (Uxbridge Subdivision) (Outbound),East,9,75780,122311,62501,77988,8576,2959,2447,44323,1744,25958,1117,23445,0,0,10695,7670,0
1081I Extended Core Cordon West (Inbound),East/South,18,108003,161990,89947,109946,10847,6023,1397,52044,1186,28970,505,18182,0,0,0,23074,0
1081O Extended Core Cordon West (Outbound),North/West,19,113557,162307,93476,118671,12483,6370,1436,43636,1228,23791,493,14477,0,0,0,19845,0
1082I Extended Core Cordon North (South of Dundas St) (Inbound),South/West,13,49462,198274,42608,51711,4568,1681,3445,146563,605,7120,236,3587,0,0,139443,0,0
1082O Extended Core Cordon North (South of Dundas St) (Outbound),East/North,14,49353,168003,42177,51019,4537,1967,3508,116984,672,9704,227,3786,0,0,107280,0,0
1083I Extended Core Cordon East (West of Jarvis) (Inbound),West,14,89672,122101,73243,88928,9630,5761,1186,33173,1038,19520,580,14248,0,0,0,13653,0
1083O Extended Core Cordon East (West of Jarvis) (Outbound),East,14,76169,97466,60009,71553,9301,5983,1026,25913,876,16126,576,13109,0,0,0,9787,0
1084I Downtown Cordon West (University Ave: Front-Davenport) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1084O Downtown Cordon West (University Ave: Front-Davenport) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1085I Downtown Cordon East (Jarvis: Front-Bloor) (Inbound),West,8,41949,60219,35432,43569,4137,1674,706,16650,706,16650,466,13979,0,0,0,0,0
1085O Downtown Cordon East (Jarvis: Front-Bloor) (Outbound),East,8,34667,48465,28436,34187,3660,1946,625,14278,625,14278,458,12855,0,0,0,0,0
1799I Central Area Cordon (After 1986)  (Inbound),East/North/South/West,46,313547,719511,259570,320510,35569,14989,9220,399001,3419,61150,1957,43881,0,0,301124,36727,0
1799O Central Area Cordon (After 1986)  (Outbound),East/North/South/West,45,286152,635674,234624,293439,33097,15060,9149,342235,3371,50300,1875,36700,0,0,262303,29632,0
1800I Extended Core Cordon (Inbound),East/South/West,45,247137,482365,205798,250585,25045,13465,6028,231780,2829,55610,1321,36017,0,0,139443,36727,0
1800O Extended Core Cordon (Outbound),East/North/West,47,239079,427776,195662,241243,26321,14320,5970,186533,2776,49621,1296,31372,0,0,107280,29632,0
1801I Metro Boundary Cordon (Inbound),East/South/West,66,655977,765121,555352,676577,50144,45737,5109,88544,4744,59370,708,6193,0,0,0,29174,0
1801O Metro Boundary Cordon (Outbound),East/North/West,66,624201,720563,521746,635437,51592,46339,4871,85126,4524,61799,711,7944,0,0,0,23327,0
1802I Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Inbound),East/North/South/West,44,576717,850057,493194,600319,53276,23624,11212,249738,6623,100910,3418,71561,0,0,113375,35453,0
1802O Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Outbound),East/North/South/West,44,575481,827291,490733,597608,51691,26305,11239,229683,6752,99212,3386,68159,0,0,102701,27770,0
1803I Railway Cordon-CNR-CPR-Don River (Inbound),East/North/South/West,47,348865,758344,285469,352782,41547,17176,10498,405562,4673,85149,3103,68037,0,0,283686,36727,0
1803O Railway Cordon-CNR-CPR-Don River (Outbound),East/North/South/West,47,321596,657177,260442,328427,39270,17226,10394,328750,4658,74852,3006,60297,0,0,224266,29632,0
1804I Downtown Cordon-University-Davenport-Jarvis-Front (Inbound),North/West,15,41949,96946,35432,43569,4137,1674,1066,53377,706,16650,466,13979,0,0,0,36727,0
1804O Downtown Cordon-University-Davenport-Jarvis-Front (Outbound),East/South,15,34667,76762,28436,34187,3660,1946,975,42575,625,14278,458,12855,0,0,0,28297,0
1806I Downtown Core Cordon-University-Dundas-Jarvis-Front (Inbound),North/South/West,25,71003,271908,59771,72784,7149,2855,4428,199124,1228,22954,702,17566,0,0,139443,36727,0
