SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,20,84308,98490,74104,91772,5372,4143,716,6718,689,6322,21,204,116,0,0,396,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,108466,143623,95556,117112,7177,5018,868,26511,715,9598,26,168,132,0,0,16913,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,42,92556,110052,81316,105079,7288,3348,604,4973,604,4973,212,1346,194,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,45,111497,133754,98120,122984,8998,3612,798,10770,767,8161,217,1531,157,0,0,2609,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,16453,20219,14171,18638,952,1257,97,1581,73,1177,0,0,21,0,0,404,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,27463,36512,24457,29515,1740,1184,152,6997,82,888,0,0,25,0,0,6109,0
1004I Humber River (Inbound),East/North/South,16,82955,107788,74067,91230,4711,3535,1059,16558,642,8689,273,4298,199,0,7454,415,0
1004O Humber River (Outbound),North/South/West,17,95065,150877,84228,104978,6123,4023,1228,45899,691,10606,282,5978,218,0,17213,18080,0
1005I CNR Newmarket Subdivision (Inbound),East/North,26,91821,137603,81365,104798,6024,3133,1710,32805,1299,20268,755,14741,921,0,11985,552,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,113565,203432,98979,127996,8617,4599,1926,75436,1370,28474,772,20890,1111,0,27174,19788,0
1006I CNR Bala Subdivision (Inbound),North/South/West,27,95015,136382,85148,105969,5573,3204,1486,30413,1090,12991,628,9138,1255,0,17041,381,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,115368,206136,103407,134000,7145,3632,1642,72136,1184,23838,708,19391,1474,0,35320,12978,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,56502,77861,49051,63255,4198,2376,1049,14606,877,11275,529,8780,155,0,2944,387,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,77255,118829,68461,85937,5485,2420,1109,32892,889,17892,527,15461,192,0,5718,9282,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,34,82629,131025,74276,94817,5663,1537,2053,36208,1153,18608,695,16436,628,0,17600,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,37,93012,184480,84069,107690,6017,1729,2167,76790,1197,21282,702,18484,557,0,49195,6313,0
1009I Hwy 401 South (Inbound),East/South/West,44,206391,266953,183395,227920,15582,5410,2790,39033,2004,24904,853,17577,447,0,14129,0,0
1009O Hwy 401 South (Outbound),East/North/West,51,218085,316214,192653,245944,17462,5812,2940,70270,2158,31847,847,21515,458,0,31724,6699,0
1010I Hwy 401 North (Inbound),East/South/West,40,203931,259523,180652,223417,15172,6318,2575,36106,1789,21977,818,16087,389,0,14129,0,0
1010O Hwy 401 North (Outbound),East/North/West,48,205792,291494,179768,224662,16824,7224,2758,66832,1976,28688,844,20364,394,0,31724,6420,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,10,34666,57471,31728,39651,1869,624,823,17820,445,6017,271,4997,229,0,11396,407,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,37316,81919,33237,43611,2929,700,920,38308,450,8138,250,6408,190,0,19137,11033,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,22672,59505,20418,26727,1616,298,1054,32778,340,7065,251,6338,673,0,25713,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,32338,99477,29437,38707,2133,401,1027,60770,367,9001,249,8096,996,0,51769,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,22,32943,64402,29957,41451,1775,783,851,22951,428,6939,214,3959,1594,0,15460,552,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,42753,116415,38564,50639,2794,977,980,65776,418,9933,202,6002,2519,0,36055,19788,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,15,34002,62913,30483,41795,2092,877,961,21118,550,8581,323,5422,694,0,11985,552,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,42905,107943,38168,49549,3046,1146,1101,58394,545,11432,315,7716,881,0,27174,19788,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,15,32796,60298,29505,38937,2165,830,692,21361,296,3939,122,1651,1067,0,17041,381,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,41700,103570,37565,50368,2594,1215,784,53202,326,4904,184,3406,1228,0,35320,12978,0
1058I Central Area Cordon North (Inbound),South,6,12726,41240,11766,14743,744,132,798,26497,84,784,40,330,351,0,25713,0,0
1058O Central Area Cordon North (Outbound),North,6,20064,78081,18601,24360,1137,229,757,53721,97,1952,46,1304,649,0,51769,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
