SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,247747,307112,210445,268901,17638,18069,1784,38211,1595,24841,60,501,0,0,0,13370,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,241293,292898,203170,255609,18061,18454,1783,37289,1608,25008,60,540,0,0,0,12281,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,32,188980,211243,156809,196947,19710,11285,1200,14296,1176,13158,328,2003,0,0,0,1138,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,32,183540,206983,150024,190059,20936,11404,1200,16924,1176,16053,301,2758,0,0,0,871,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,48063,65509,40396,54895,2936,4477,372,10614,254,6061,0,0,0,0,0,4553,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,47866,61082,39542,52735,3723,4391,336,8347,210,4320,0,0,0,0,0,4027,0
1004I Humber River (Inbound),East/North/South,16,264404,372637,220468,280261,24126,17608,3773,92376,2202,34686,1182,17394,0,0,43365,14325,0
1004O Humber River (Outbound),North/South/West,16,260278,357362,216945,269612,22929,18220,3747,87750,2184,31453,1146,15839,0,0,42928,13369,0
1005I CNR Newmarket Subdivision (Inbound),East/North,27,328296,511564,271626,344524,32158,19772,6326,167040,4740,86014,3304,66756,0,0,66371,14655,0
1005O CNR Newmarket Subdivision (Outbound),South/West,27,310042,487300,255337,321802,29955,20248,6076,165498,4502,86135,3213,67545,0,0,65625,13738,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,344403,521113,290506,364761,30929,18927,5566,156352,4041,69558,2587,56009,0,0,77771,9023,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,330712,485716,279828,345900,28294,18560,5548,139816,4030,63180,2647,49019,0,0,68861,7775,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,188782,255126,158375,203474,17283,10650,2597,51652,2474,44057,1607,35886,0,0,0,7595,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,173411,236319,143423,183389,17487,10071,2561,52930,2430,46232,1567,37350,0,0,0,6698,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,36,287415,473742,247318,314530,24633,11217,7312,159212,4247,69148,3002,59431,0,0,86309,3755,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,36,276354,457529,235542,302521,25285,11459,7137,155008,4068,74760,2909,64503,0,0,76588,3660,0
1009I Hwy 401 South (Inbound),East/South/West,44,622217,860542,528556,672672,55348,32077,10899,187870,6236,90669,3149,58368,0,0,93507,3694,0
1009O Hwy 401 South (Outbound),East/North/West,48,582245,805369,493136,620919,53873,29136,10771,184450,6100,89061,3060,60471,0,0,91770,3619,0
1010I Hwy 401 North (Inbound),East/South/West,40,546837,721487,459542,581672,51859,29832,8677,139815,5604,83128,2972,57177,0,0,52993,3694,0
1010O Hwy 401 North (Outbound),East/North/West,47,536628,702641,451022,565206,50994,29060,8629,137435,5552,82619,2929,56858,0,0,51197,3619,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,123796,205918,106274,135621,11428,4676,2819,70297,1418,21396,878,16540,0,0,41939,6962,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,111067,180721,94143,116973,10842,4716,3008,63748,1366,19318,839,14441,0,0,37375,7055,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,97856,269118,84682,109766,8661,2899,4956,159352,1614,28870,1092,25346,0,0,130482,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,92238,255625,79142,103115,8685,2829,4928,152510,1582,26797,1073,23828,0,0,125713,0,0
1013I Central Area Cordon West (Bathurst St) (Before 1986) (Inbound),East,16,120291,278569,101517,131411,11090,6072,3204,147158,1612,40915,1100,32489,0,0,91588,14655,0
1013O Central Area Cordon West (Bathurst St) (Before 1986) (Outbound),West,16,111254,240093,93000,117410,10507,6153,3144,122683,1594,33766,1100,25377,0,0,75179,13738,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,16,129561,256357,107405,139184,12786,7197,3759,117173,2173,36147,1535,27545,0,0,66371,14655,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,16,116815,233870,95912,122257,11682,7130,3665,111613,2091,32250,1538,24406,0,0,65625,13738,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,125660,247079,105479,136066,12151,6566,2989,111013,1464,24219,923,19762,0,0,77771,9023,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,115721,220982,95787,121987,11782,6688,2982,98995,1464,22359,973,18337,0,0,68861,7775,0
1058I Central Area Cordon North (Inbound),South,6,62253,205842,55883,70926,4599,1354,3759,134916,417,4434,154,2368,0,0,130482,0,0
1058O Central Area Cordon North (Outbound),North,6,58357,196673,51746,65913,4706,1461,3790,130760,444,5047,151,2870,0,0,125713,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061O Downtown Core Cordon North-Dundas St (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1062I Downtown Core Cordon South-Front St (Inbound),North,7,0,23678,0,0,0,0,345,23678,0,0,0,0,0,0,0,23678,0
1062O Downtown Core Cordon South-Front St (Outbound),South,7,0,21513,0,0,0,0,326,21513,0,0,0,0,0,0,0,21513,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066O Downtown Core Cordon East-Jarvis St (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,12,129052,219956,110743,144214,11489,5532,2859,75742,1288,18052,745,9403,0,0,43365,14325,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,12,125009,208528,106957,135316,11093,5676,2846,73212,1283,16915,721,8956,0,0,42928,13369,0
1071I Suburban North Boundary (Hwy 401 South) (Inbound),East/South,23,358378,500708,306860,389473,32203,15514,6839,111235,3801,57105,1966,40389,0,0,52993,1137,0
1071O Suburban North Boundary (Hwy 401 South) (Outbound),North/West,23,335707,470060,287146,361276,30017,14917,6642,108784,3627,56591,1929,41028,0,0,51197,996,0
1072I Suburban East Boundary (Uxbridge Subdivision) (Inbound),West,9,77617,123170,65153,84709,8207,2655,1725,38461,1602,30866,1234,28971,0,0,0,7595,0
1072O Suburban East Boundary (Uxbridge Subdivision) (Outbound),East,9,74513,119790,62753,80880,7571,2648,1672,38910,1541,32212,1201,30283,0,0,0,6698,0
1081I Extended Core Cordon West (Inbound),East,7,72563,100078,61771,78623,6298,4175,513,21455,319,6800,0,0,0,0,0,14655,0
1081O Extended Core Cordon West (Outbound),West,7,64605,87399,54516,67225,5706,4091,480,20174,292,6436,0,0,0,0,0,13738,0
1082I Extended Core Cordon North (South of Dundas St) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1082O Extended Core Cordon North (South of Dundas St) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1083I Extended Core Cordon East (West of Jarvis) (Inbound),West,3,0,9023,0,0,0,0,151,9023,0,0,0,0,0,0,0,9023,0
1083O Extended Core Cordon East (West of Jarvis) (Outbound),East,3,0,7775,0,0,0,0,138,7775,0,0,0,0,0,0,0,7775,0
1084I Downtown Cordon West (University Ave: Front-Davenport) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1084O Downtown Cordon West (University Ave: Front-Davenport) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1085I Downtown Cordon East (Jarvis: Front-Bloor) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1085O Downtown Cordon East (Jarvis: Front-Bloor) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1798I Central Area Cordon (Pre-1986) Bathurst-CP-Don River (Inbound),East/North/South/West,39,308204,731490,262879,338403,27840,13992,9952,393087,3493,69568,2177,54619,0,0,299841,23678,0
1798O Central Area Cordon (Pre-1986) Bathurst-CP-Don River (Outbound),East/North/South/West,39,285332,657748,240533,305310,26995,14302,9916,352438,3502,61172,2224,46584,0,0,269753,21513,0
1800I Extended Core Cordon (Inbound),East/West,10,72563,109101,61771,78623,6298,4175,664,30478,319,6800,0,0,0,0,0,23678,0
1800O Extended Core Cordon (Outbound),East/West,10,64605,95174,54516,67225,5706,4091,618,27949,292,6436,0,0,0,0,0,21513,0
1801I Metro Boundary Cordon (Inbound),East/South/West,56,484790,583864,407650,520743,40284,33831,3356,63121,3025,44060,388,2504,0,0,0,19061,0
1801O Metro Boundary Cordon (Outbound),East/North/West,56,472699,560963,392736,498403,42720,34249,3319,62560,2994,45381,361,3298,0,0,0,17179,0
1802I Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Inbound),East/North/South/West,44,565047,843834,482756,618396,51899,23701,11423,225438,6691,106023,3945,78763,0,0,96358,23057,0
1802O Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Outbound),East/North/South/West,44,535229,798378,456856,577472,48681,23241,11160,220906,6451,105718,3851,80267,0,0,94125,21063,0
1803I Railway Cordon-CNR-CPR-Don River (Inbound),East/North/South/West,47,353077,772554,297566,385016,33598,16662,11704,387538,5251,89236,3550,72653,0,0,274624,23678,0
1803O Railway Cordon-CNR-CPR-Don River (Outbound),East/North/South/West,47,324774,710477,270841,347359,32149,16647,11575,363118,5137,81406,3584,66571,0,0,260199,21513,0
1804I Downtown Cordon-University-Davenport-Jarvis-Front (Inbound),North,7,0,23678,0,0,0,0,345,23678,0,0,0,0,0,0,0,23678,0
1804O Downtown Cordon-University-Davenport-Jarvis-Front (Outbound),South,7,0,21513,0,0,0,0,326,21513,0,0,0,0,0,0,0,21513,0
1806I Downtown Core Cordon-University-Dundas-Jarvis-Front (Inbound),North,7,0,23678,0,0,0,0,345,23678,0,0,0,0,0,0,0,23678,0
1806O Downtown Core Cordon-University-Dundas-Jarvis-Front (Outbound),South,7,0,21513,0,0,0,0,326,21513,0,0,0,0,0,0,0,21513,0
1856I GO Rail (Inbound),East/North/South/West,36,0,101681,0,0,0,0,1556,101681,0,0,0,0,0,0,0,101681,0
1856O GO Rail (Outbound),East/North/South/West,36,0,93331,0,0,0,0,1506,93331,0,0,0,0,0,0,0,93331,0
