SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,275164,332295,234698,288935,17877,20943,1802,43360,1646,28458,64,645,0,0,0,14902,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,264553,316267,224094,274926,17436,21338,1862,41341,1685,27463,63,616,0,0,0,13878,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,31,224622,255517,188582,237851,20606,14133,1322,17666,1301,16424,365,2979,0,0,0,1242,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,31,220660,249935,183816,230999,21229,14353,1284,18936,1262,17787,315,4767,0,0,0,1149,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,55165,70512,47205,61687,2985,4783,313,8825,192,3866,0,0,0,0,0,4959,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,53426,64363,44949,54808,3014,5204,387,9555,259,4469,0,0,0,0,0,5086,0
1004I Humber River (Inbound),East/North/South,16,278852,372808,233164,287205,24827,18732,3697,85603,2129,29358,1195,15651,0,0,40181,16064,0
1004O Humber River (Outbound),North/South/West,16,282400,368868,236330,281974,23780,20081,3788,86894,2209,30891,1131,15256,0,0,41047,14956,0
1005I CNR Newmarket Subdivision (Inbound),East/North,27,324652,497962,267925,333298,32600,19342,6346,164664,4785,85314,3430,69106,0,0,62986,16364,0
1005O CNR Newmarket Subdivision (Outbound),South/West,27,322199,492032,263889,327292,31987,21516,6390,164740,4807,87095,3331,68238,0,0,62286,15359,0
1006I CNR Bala Subdivision (Inbound), North/South/West,29,357880,536459,302874,377987,30939,19885,5702,158472,4182,71658,2614,57588,0,0,76655,10159,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,344593,508067,290746,355177,30064,19734,5579,152890,4049,68168,2611,54877,0,0,75211,9511,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,200301,271341,169548,212570,16157,11790,3252,58771,2806,43110,1710,33458,0,0,7162,8499,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,194471,260324,162003,203681,18236,11538,3147,56643,2694,41089,1612,31447,0,0,7303,8251,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,302786,490310,260432,329908,26514,11523,7270,160402,4317,68692,2860,56211,0,0,87473,4237,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,39,290373,470071,247862,308802,25858,12383,7306,161269,4270,69355,2826,58178,0,0,87779,4135,0
1009I Hwy 401 South (Inbound),East/South/West,45,651172,848977,557892,687077,53114,33466,9600,161900,6700,92159,3202,59756,0,0,65416,4325,0
1009O Hwy 401 South (Outbound),East/North/West,49,630426,818570,537469,662745,55497,31022,9315,155825,6438,88966,3116,60538,0,0,62681,4178,0
1010I Hwy 401 North (Inbound),East/South/West,42,411383,516754,357273,442473,31973,17572,4611,74281,4565,69956,2509,52621,0,0,0,4325,0
1010O Hwy 401 North (Outbound),East/North/West,48,403922,500270,351076,430394,31143,17243,4510,69876,4460,65686,2438,49579,0,0,12,4178,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,123589,213784,105795,132172,11610,4612,2970,81612,1572,22861,1034,17891,0,0,49851,8900,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,116455,194028,97869,121407,11949,5048,3220,72621,1589,21704,1006,17164,0,0,42292,8625,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,100452,263629,86631,110621,9387,2991,4779,153008,1443,24140,1012,21404,0,0,128868,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,96241,261087,82609,105439,9213,2991,4768,155648,1428,24250,1005,22097,0,0,131398,0,0
1013I Central Area Cordon West (Bathurst St) (Before 1986) (Inbound),East,16,127092,280652,106705,135519,12756,6026,3166,145133,1605,35284,1072,26487,0,0,93485,16364,0
1013O Central Area Cordon West (Bathurst St) (Before 1986) (Outbound),West,16,117498,251167,97314,121929,12389,6111,3267,129238,1684,35134,1039,24476,0,0,78745,15359,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,16,132797,254543,109520,140182,13933,7182,3723,114361,2162,35011,1580,26124,0,0,62986,16364,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,16,118735,237863,96579,121642,12882,7060,3797,116221,2214,38576,1548,27551,0,0,62286,15359,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,128807,247944,107565,138815,13235,6575,2952,109129,1432,22315,916,18346,0,0,76655,10159,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,118460,228339,97522,121557,12563,7023,2882,106782,1352,22060,920,18673,0,0,75211,9511,0
1058I Central Area Cordon North (Inbound),South,6,63122,203356,56394,69981,4893,1455,3716,133375,380,4507,156,2901,0,0,128868,0,0
1058O Central Area Cordon North (Outbound),North,6,60900,203482,53972,67697,4979,1539,3750,135785,410,4387,155,2922,0,0,131398,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South/West,11,32127,157380,27363,34012,2945,1111,3791,123368,708,9669,347,5474,0,0,113699,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,11,30161,153351,25571,31829,2858,1177,3619,121522,555,6736,339,4804,0,0,114786,0,0
1062I Downtown Core Cordon South-Front St (Inbound),North,7,0,26523,0,0,0,0,309,26523,0,0,0,0,0,0,0,26523,0
1062O Downtown Core Cordon South-Front St (Outbound),South,7,0,23631,0,0,0,0,313,23631,0,0,0,0,0,0,0,23631,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,41512,58826,35387,44898,3928,1557,640,13928,640,13928,488,12257,0,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,32478,46672,27387,33722,3208,1281,602,12950,602,12950,504,12022,0,0,0,0,0
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,12,146217,229042,125386,156835,12998,6601,2800,72207,1232,15962,714,8379,0,0,40181,16064,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,12,137714,212669,117852,140947,12488,6161,2792,71722,1213,15719,678,7886,0,0,41047,14956,0
