SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,19,91098,107439,79027,97547,5868,5438,797,9892,765,9458,20,349,0,0,0,434,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,104743,145914,92730,114958,5962,5253,924,30956,798,15565,22,245,0,0,0,15391,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,36,82162,97694,71549,91238,6559,3486,568,6456,568,6456,193,2283,0,0,0,0,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,39,101967,119146,88013,107945,8460,4839,681,11201,655,9033,209,2206,0,0,0,2168,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,14708,17527,12966,16150,524,1169,86,1377,49,910,0,0,0,0,0,467,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,24941,31883,22793,27193,1190,899,105,4690,59,753,0,0,0,0,0,3937,0
1004I Humber River (Inbound),East/North/South,14,75055,100111,66099,80939,4943,3426,1063,19172,587,9665,325,6580,0,0,9058,449,0
1004O Humber River (Outbound),North/South/West,16,93582,149561,82208,101021,6093,4619,1268,48540,662,11708,304,7300,0,0,20306,16526,0
1005I CNR Newmarket Subdivision (Inbound),East/North,25,93063,136488,80600,97665,7312,3777,1833,38823,1374,22239,895,17008,0,0,16120,464,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,115010,203419,98292,128152,10121,5146,2033,75267,1451,35876,922,29923,0,0,20671,18720,0
1006I CNR Bala Subdivision (Inbound),North/South/West,26,96682,131339,84359,104492,6726,4311,1770,26847,1286,15911,806,12045,0,0,10519,417,0
1006O CNR Bala Subdivision (Outbound),East/North/South,28,107629,201545,94356,117128,8135,3834,1807,84417,1304,31599,835,27584,0,0,43608,9210,0
1007I CNR Uxbridge Subdivision (Inbound),West,15,52501,70383,45018,55165,3892,2738,1061,15218,853,11482,540,9250,0,0,3321,415,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,78583,116786,70064,85162,4880,2795,1082,31624,844,19225,522,16507,0,0,5399,7000,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,35,86402,138558,76248,96860,6638,2230,2112,41698,1286,20340,839,17255,0,0,21358,0,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,38,95128,184473,83033,103651,8155,2618,2171,80822,1322,22765,855,19405,0,0,52479,5578,0
1009I Hwy 401 South (Inbound),East/South/West,44,209174,272285,185106,228691,15263,6788,2691,43594,2017,30730,911,20856,0,0,12864,0,0
1009O Hwy 401 South (Outbound),East/North/West,52,217823,308944,191279,232517,17031,7374,2813,76427,2139,38125,922,25377,0,0,32939,5363,0
1010I Hwy 401 North (Inbound),East/South/West,39,196943,248920,171203,206878,16374,7529,2511,42042,1837,29178,903,21676,0,0,12864,0,0
1010O Hwy 401 North (Outbound),East/North/West,48,196158,272848,168796,203179,17211,8231,2594,69669,1920,31661,912,22974,0,0,32939,5069,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,10,34354,53015,30961,38152,2066,858,935,14863,469,8152,279,6156,0,0,6296,415,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,37784,80911,33262,41351,3091,949,976,39560,482,9417,285,7990,0,0,22661,7482,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,23905,63356,20633,26589,2403,426,1263,36767,443,8736,304,7829,0,0,28031,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,35352,112447,30956,40513,3280,670,1226,71934,446,10705,310,9207,0,0,61229,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,21,32063,61893,27784,33915,2690,1116,926,27978,473,8953,279,7151,0,0,18561,464,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,47203,133917,40551,56649,4705,1442,1123,77268,505,14554,273,11872,0,0,43994,18720,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,14,33900,61835,28794,35581,3258,1249,1058,26254,599,9670,404,7722,0,0,16120,464,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,46827,111076,39850,56061,4805,1541,1213,55015,631,15624,396,12800,0,0,20671,18720,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,14,29967,47783,25165,31949,3030,1339,917,15834,433,4898,264,3659,0,0,10519,417,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,16,41085,108835,35387,45865,3998,1284,919,62970,416,10152,262,8928,0,0,43608,9210,0
1058I Central Area Cordon North (Inbound),South,6,14083,45228,12598,15766,1175,186,944,29462,124,1431,44,769,0,0,28031,0,0
1058O Central Area Cordon North (Outbound),North,6,22545,90004,20318,26200,1778,318,911,63804,131,2575,48,1308,0,0,61229,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South/West,10,8969,45688,7871,9742,725,203,998,35946,170,2159,55,845,0,0,33787,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,10,8360,74251,7432,9576,622,183,959,64675,123,2119,46,1501,0,0,62556,0,0
1062I Downtown Core Cordon South-Front St (Inbound),North,2,0,881,0,0,0,0,55,881,0,0,0,0,0,0,0,881,0
1062O Downtown Core Cordon South-Front St (Outbound),South,7,0,26595,0,0,0,0,213,26595,0,0,0,0,0,0,0,26595,0
1065I Downtown Core Cordon West-University Ave (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1065O Downtown Core Cordon West-University Ave (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,9405,15396,8181,9682,706,269,249,5714,249,5714,158,4560,0,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,14145,23514,12452,16245,1077,398,218,7269,218,7269,156,6789,0,0,0,0,0
