SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,108224,141497,95994,104336,5701,5941,610,37161,588,7849,0,0,26,0,0,29312,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,83854,84751,70927,77888,6512,5896,522,6863,519,6511,0,0,23,0,0,352,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,45,135716,148992,121728,135990,7756,5693,548,13002,539,6118,190,1302,58,0,0,6884,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,45,96717,100970,84968,94752,6538,4701,511,6218,510,6213,209,3773,73,0,0,5,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,6,45975,56094,40929,45000,3077,1911,68,11094,58,774,0,0,3,0,0,10320,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,6,14188,14116,11675,12970,1048,1403,67,1146,62,792,0,0,0,0,0,354,0
1004I Humber River (Inbound),East/North/South,17,88990,139848,77487,86933,5666,5130,788,52915,707,7673,304,5757,106,0,14200,31042,0
1004O Humber River (Outbound),North/South/West,17,77212,89849,66409,73038,6115,4050,704,16811,638,6935,340,5122,127,0,9490,386,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,94702,181396,82016,94069,6814,4491,1466,87327,1381,26677,929,23458,521,0,27963,32687,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,78865,100815,68452,76480,5697,3381,1405,24335,1335,15491,874,12233,252,0,8436,408,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,103927,197616,93059,107712,5986,3588,1381,89904,1294,30484,924,28463,707,0,38307,21113,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,75908,91561,66863,72995,4376,3463,1268,18566,1206,11196,858,9300,281,0,7174,196,0
1007I CNR Uxbridge Subdivision (Inbound),West,17,79214,124776,71566,83810,4222,2471,1017,40966,955,17808,569,16162,90,0,6453,16705,0
1007O CNR Uxbridge Subdivision (Outbound),East,17,40557,51404,34861,39832,2732,2077,942,11572,887,8481,501,6373,83,0,2831,260,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009I Hwy 401 South (Inbound),East/South/West,46,157103,233124,139351,160763,10403,5319,2162,72361,2048,27082,881,19950,188,0,31936,13343,0
1009O Hwy 401 South (Outbound),East/North/West,48,166481,201505,148226,168027,10777,5530,2033,33478,1941,22189,879,16267,211,0,11283,6,0
1010I Hwy 401 North (Inbound),East/South,12,24759,45121,22204,26909,1412,680,490,18212,481,8048,250,7111,73,0,0,10164,0
1010O Hwy 401 North (Outbound),North/West,12,20912,27303,18916,21962,999,521,470,5341,469,5335,259,4634,70,0,0,6,0
1011I Taylor Creek-Victoria Park (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1011O Taylor Creek-Victoria Park (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,7,17328,68179,16094,18228,815,269,266,49951,150,2940,105,2540,418,0,47011,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,7,9268,34793,8260,9229,621,235,262,25564,152,2610,95,2220,135,0,22954,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,23,35252,111808,31880,37001,2036,957,459,74807,379,10837,268,10062,1266,0,31283,32687,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,22033,36593,19573,21558,1249,814,467,15035,397,5213,231,3463,347,0,9414,408,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,34607,105404,30564,34336,2388,1054,686,71068,601,10418,453,9468,453,0,27963,32687,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,24704,39575,21284,23989,1871,928,691,15586,621,6742,416,5002,169,0,8436,408,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,37252,111065,33239,39253,2267,1198,635,71812,548,12392,460,11877,586,0,38307,21113,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,19577,29928,17025,18314,1278,760,576,11614,514,4244,449,3589,191,0,7174,196,0
1058I Central Area Cordon North (Inbound),South,6,14948,64569,13980,15633,653,204,227,48936,111,1925,76,1600,397,0,47011,0,0
1058O Central Area Cordon North (Outbound),North,6,7448,31633,6723,7569,437,179,219,24064,109,1110,58,720,119,0,22954,0,0
1059I Downtown Cordon North (Davenport Rd.) (Inbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059O Downtown Cordon North (Davenport Rd.) (Outbound),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1061I Downtown Core Cordon North-Dundas St (Inbound),South,10,4658,57652,4114,4552,257,166,245,53100,121,1360,58,1120,152,0,51740,0,0
1061O Downtown Core Cordon North-Dundas St (Outbound),East/North,11,5497,23640,4805,5015,346,230,238,18625,116,1280,64,1100,62,0,17345,0,0
1062I Downtown Core Cordon South-Front St (Inbound),East/North,11,8070,10650,7161,8546,510,267,141,2104,132,1500,61,580,86,0,0,604,0
1062O Downtown Core Cordon South-Front St (Outbound),South/West,10,2264,56762,1930,2067,162,73,139,54695,99,895,47,480,51,0,0,53800,0
1065I Downtown Core Cordon West-University Ave (Inbound),East,5,5945,9588,5220,5619,333,164,228,3969,228,3969,154,2804,273,0,0,0,0
1065O Downtown Core Cordon West-University Ave (Outbound),West,7,8654,12778,7542,8175,503,319,290,4603,290,4603,180,3871,178,0,0,0,0
1066I Downtown Core Cordon East-Jarvis St (Inbound),West,8,11908,19972,10756,13185,631,238,283,6787,283,6787,225,6493,221,0,0,0,0
1066O Downtown Core Cordon East-Jarvis St (Outbound),East,8,4785,7805,4100,4127,301,176,208,3678,208,3678,182,3558,111,0,0,0,0
1070I Suburban West Boundary (Humber River) (Inbound),East/North/South,12,43025,92732,38925,43618,2416,1290,475,49114,394,3872,186,2977,91,0,14200,31042,0
1070O Suburban West Boundary (Humber River ) (Outbound),North/South/West,12,33875,46925,29755,33185,2666,1078,442,13740,376,3864,207,2908,118,0,9490,386,0
1071I Suburban North Boundary (Hwy 401 South) (Inbound),East/South,23,101882,156118,90604,103840,6810,3323,1252,52278,1145,14860,448,9982,131,0,31936,5482,0
1071O Suburban North Boundary (Hwy 401 South) (Outbound),East/North/West,23,91007,115258,81635,92071,5656,2625,1182,23187,1091,11904,470,8875,117,0,11283,0,0
1072I Suburban East Boundary (Uxbridge Subdivision) (Inbound),West,9,30154,68632,27151,33046,1845,607,613,35586,551,12428,355,11757,49,0,6453,16705,0
1072O Suburban East Boundary (Uxbridge Subdivision) (Outbound),East,9,12838,20681,11138,12995,834,355,566,7686,511,4595,347,4120,35,0,2831,260,0
1081I Extended Core Cordon West (Inbound),East/South,19,28366,66334,25642,28507,1589,863,296,37827,272,5140,145,4775,550,0,0,32687,0
1081O Extended Core Cordon West (Outbound),North/West,20,23453,27128,21024,22870,1271,842,319,4258,316,3850,139,3060,205,0,0,408,0
1082I Extended Core Cordon North (South of Dundas St) (Inbound),South,13,9436,62883,8663,9683,393,255,249,53200,125,1460,58,1120,201,0,51740,0,0
1082O Extended Core Cordon North (South of Dundas St) (Outbound),East/North,15,9100,27455,8177,8830,486,319,240,18625,118,1280,66,1100,163,0,17345,0,0
1083I Extended Core Cordon East (West of Jarvis) (Inbound),West,14,28597,58486,25494,29611,1643,1063,413,28875,397,7762,266,6493,266,0,0,21113,0
1083O Extended Core Cordon East (West of Jarvis) (Outbound),East,14,21099,24743,18601,19984,1165,1036,303,4759,297,4563,201,3578,176,0,0,196,0
1084I Downtown Cordon West (University Ave: Front-Davenport) (Inbound),East,6,7220,12065,6308,6936,442,198,272,5129,272,5129,185,3864,333,0,0,0,0
1084O Downtown Cordon West (University Ave: Front-Davenport) (Outbound),West,8,9730,14753,8505,9220,537,358,330,5533,330,5533,207,4751,216,0,0,0,0
1085I Downtown Cordon East (Jarvis: Front-Bloor) (Inbound),West,9,13472,22909,12151,14511,706,264,351,8398,351,8398,279,8104,234,0,0,0,0
1085O Downtown Cordon East (Jarvis: Front-Bloor) (Outbound),East,9,5708,9076,4851,4896,358,211,288,4180,288,4180,243,3910,128,0,0,0,0
1799I Central Area Cordon (After 1986)  (Inbound),East/North/South/West,46,87452,287442,79099,91887,4956,2359,1321,195555,1038,25154,804,23539,2249,0,116601,53800,0
1799O Central Area Cordon (After 1986)  (Outbound),East/North/South/West,46,49058,98154,43321,47441,2964,1753,1262,50713,1020,10567,738,7772,657,0,39542,604,0
1800I Extended Core Cordon (Inbound),East/South/West,46,66399,187703,59799,67801,3625,2181,958,119902,794,14362,469,12388,1017,0,51740,53800,0
1800O Extended Core Cordon (Outbound),East/North/West,49,53652,79326,47802,51684,2922,2197,862,27642,731,9693,406,7738,544,0,17345,604,0
1801I Metro Boundary Cordon (Inbound),East/South/West,72,289915,346583,258651,285326,16534,13545,1226,61257,1185,14741,190,1302,87,0,0,46516,0
1801O Metro Boundary Cordon (Outbound),East/North/West,72,194759,199837,167570,185610,14098,12000,1100,14227,1091,13516,209,3773,96,0,0,711,0
1802I Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Inbound),East/North/South/West,44,175061,317482,156680,180504,11071,5220,2340,136978,2090,31160,989,24716,271,0,52589,53229,0
1802O Suburban Cordon-Humber River-Hwy 401-CN Uxbridge (Outbound),East/North/South/West,44,137720,182864,122528,138251,9156,4058,2190,44613,1978,20363,1024,15903,270,0,23604,646,0
1803I Railway Cordon-CNR-CPR-Don River (Inbound),East/North/South/West,41,89187,284648,79897,91817,5470,2521,1587,192831,1299,25750,1018,23885,1457,0,113281,53800,0
1803O Railway Cordon-CNR-CPR-Don River (Outbound),East/North/South/West,41,53549,104296,46569,51532,3770,1923,1529,52764,1287,13596,960,10811,495,0,38564,604,0
